Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,1.305800,1.306080,1.295310,1.306060,1.306060,0
2020-01-01,1.300200,1.301100,1.291930,1.300200,1.300200,0
2020-01-02,1.297510,1.300700,1.296870,1.297300,1.297300,0
2020-01-03,1.298370,1.300410,1.296120,1.298300,1.298300,0
2020-01-06,1.298720,1.298860,1.296300,1.298660,1.298660,0
2020-01-07,1.296410,1.302930,1.295700,1.296390,1.296390,0
2020-01-08,1.300140,1.304310,1.297650,1.300310,1.300310,0
2020-01-09,1.303520,1.310390,1.302500,1.303650,1.303650,0
2020-01-10,1.306240,1.307520,1.302970,1.306250,1.306250,0
2020-01-13,1.306690,1.306750,1.303200,1.306540,1.306540,0
2020-01-14,1.305620,1.307770,1.304700,1.305560,1.305560,0
2020-01-15,1.306500,1.307750,1.303800,1.306550,1.306550,0
2020-01-16,1.303800,1.305530,1.303100,1.303800,1.303800,0
2020-01-17,1.303980,1.307450,1.303300,1.303900,1.303900,0
2020-01-20,1.306320,1.307190,1.305000,1.306360,1.306360,0
2020-01-21,1.304520,1.307720,1.304200,1.304540,1.304540,0
2020-01-22,1.307400,1.313840,1.303660,1.307350,1.307350,0
2020-01-23,1.314230,1.317140,1.314190,1.313900,1.313900,0
2020-01-24,1.312710,1.315040,1.312100,1.312700,1.312700,0
2020-01-27,1.316080,1.319920,1.314600,1.315900,1.315900,0
2020-01-28,1.318810,1.320490,1.317010,1.318770,1.318770,0
2020-01-29,1.316390,1.320740,1.315600,1.316400,1.316400,0
2020-01-30,1.319600,1.322570,1.319600,1.319700,1.319700,0
2020-01-31,1.320900,1.324400,1.319480,1.321130,1.321130,0
2020-02-03,1.324070,1.330290,1.323000,1.324040,1.324040,0
2020-02-04,1.329480,1.330110,1.326200,1.329400,1.329400,0
2020-02-05,1.328280,1.330160,1.326280,1.328240,1.328240,0
2020-02-06,1.328610,1.330850,1.326800,1.328430,1.328430,0
2020-02-07,1.328650,1.331750,1.328070,1.328400,1.328400,0
2020-02-10,1.331160,1.332820,1.328700,1.330960,1.330960,0
2020-02-11,1.331740,1.331910,1.327600,1.331700,1.331700,0
2020-02-12,1.329000,1.329480,1.324300,1.329040,1.329040,0
2020-02-13,1.325660,1.327100,1.323900,1.325610,1.325610,0
2020-02-14,1.326450,1.326820,1.323500,1.326390,1.326390,0
2020-02-17,1.324520,1.324890,1.322300,1.324520,1.324520,0
2020-02-18,1.323700,1.327710,1.323400,1.323500,1.323500,0
2020-02-19,1.325260,1.325540,1.321500,1.325370,1.325370,0
2020-02-20,1.322210,1.326800,1.321100,1.322040,1.322040,0
2020-02-21,1.326000,1.326800,1.321200,1.325980,1.325980,0
2020-02-24,1.325310,1.330700,1.324640,1.325300,1.325300,0
2020-02-25,1.328840,1.330520,1.327110,1.328740,1.328740,0
2020-02-26,1.328060,1.332150,1.327170,1.327920,1.327920,0
2020-02-27,1.334360,1.337300,1.331660,1.334530,1.334530,0
2020-02-28,1.338720,1.346180,1.338560,1.338620,1.338620,0
2020-03-02,1.340470,1.341280,1.331490,1.340710,1.340710,0
2020-03-03,1.332490,1.337890,1.332110,1.332510,1.332510,0
2020-03-04,1.337620,1.343060,1.333040,1.337760,1.337760,0
2020-03-05,1.338700,1.343180,1.338500,1.338460,1.338460,0
2020-03-06,1.339120,1.343790,1.338040,1.339380,1.339380,0
2020-03-09,1.361950,1.375580,1.351950,1.362220,1.362220,0
2020-03-10,1.365940,1.379500,1.360990,1.365800,1.365800,0
2020-03-11,1.372990,1.376120,1.368200,1.373180,1.373180,0
2020-03-12,1.377070,1.387260,1.375200,1.377300,1.377300,0
2020-03-13,1.394050,1.399410,1.378190,1.394280,1.394280,0
2020-03-16,1.378810,1.398500,1.378810,1.379780,1.379780,0
2020-03-17,1.401050,1.418620,1.396130,1.401060,1.401060,0
2020-03-18,1.424040,1.455640,1.416600,1.423920,1.423920,0
2020-03-19,1.447450,1.466650,1.442230,1.444500,1.444500,0
2020-03-20,1.449220,1.452800,1.415040,1.449820,1.449820,0
2020-03-23,1.446510,1.454200,1.434060,1.445940,1.445940,0
2020-03-24,1.447790,1.453050,1.437460,1.447690,1.447690,0
2020-03-25,1.443770,1.445940,1.429930,1.443900,1.443900,0
2020-03-26,1.422010,1.427550,1.401200,1.421710,1.421710,0
2020-03-27,1.404410,1.414910,1.399090,1.403740,1.403740,0
2020-03-30,1.405170,1.418290,1.401210,1.404690,1.404690,0
2020-03-31,1.418210,1.434640,1.409500,1.417870,1.417870,0
2020-04-01,1.407720,1.427080,1.406610,1.407800,1.407800,0
2020-04-02,1.415030,1.428990,1.408440,1.415140,1.415140,0
2020-04-03,1.413340,1.422390,1.409870,1.412930,1.412930,0
2020-04-06,1.425250,1.425530,1.408660,1.425200,1.425200,0
2020-04-07,1.411020,1.412250,1.394600,1.411230,1.411230,0
2020-04-08,1.401290,1.407950,1.399130,1.401400,1.401400,0
2020-04-09,1.400600,1.407410,1.393280,1.400380,1.400380,0
2020-04-10,1.398600,1.400790,1.393810,1.398610,1.398610,0
2020-04-13,1.396400,1.398670,1.392510,1.396840,1.396840,0
2020-04-14,1.388060,1.392460,1.386300,1.387310,1.387310,0
2020-04-15,1.388210,1.412310,1.388170,1.388090,1.388090,0
2020-04-16,1.411800,1.415250,1.406410,1.411910,1.411910,0
