Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,21.350000,21.459999,21.230000,21.450001,21.450001,87100
2023-01-04,21.459999,21.459999,21.290001,21.350000,21.350000,36800
2023-01-05,21.230000,21.230000,21.139999,21.200001,21.200001,7700
2023-01-06,21.309999,21.410000,21.309999,21.350000,21.350000,4000
2023-01-09,21.400000,21.420000,21.299999,21.309999,21.309999,5400
2023-01-10,21.410000,21.450001,21.400000,21.450001,21.450001,5800
2023-01-11,21.430000,21.480000,21.350000,21.440001,21.440001,33900
2023-01-12,21.530001,21.620001,21.500000,21.580000,21.580000,21600
2023-01-13,21.790001,21.900000,21.740000,21.900000,21.900000,47300
2023-01-16,21.860001,21.860001,21.670000,21.750000,21.750000,25800
2023-01-17,21.799999,21.799999,21.700001,21.740000,21.740000,4500
2023-01-18,21.889999,21.889999,21.809999,21.870001,21.870001,6000
2023-01-19,21.959999,22.139999,21.959999,22.139999,22.139999,16600
2023-01-20,22.059999,22.059999,21.950001,21.950001,21.950001,8000
2023-01-23,21.930000,22.000000,21.820000,22.000000,22.000000,5900
2023-01-24,21.969999,22.049999,21.889999,22.040001,22.040001,17400
2023-01-25,21.879999,22.150000,21.879999,22.110001,22.110001,7000
2023-01-26,21.900000,21.980000,21.889999,21.889999,21.889999,1600
2023-01-27,21.850000,21.910000,21.830000,21.850000,21.850000,10200
2023-01-30,21.879999,21.920000,21.840000,21.889999,21.889999,5900
2023-01-31,21.930000,21.950001,21.820000,21.820000,21.820000,4400
2023-02-01,21.889999,22.059999,21.770000,22.059999,22.059999,24700
2023-02-02,22.000000,22.000000,21.690001,21.690001,21.690001,18600
2023-02-03,21.510000,21.510000,21.250000,21.250000,21.250000,6300
2023-02-06,21.459999,21.459999,21.330000,21.379999,21.379999,10100
2023-02-07,21.389999,21.469999,21.320000,21.320000,21.320000,6200
2023-02-08,21.379999,21.459999,21.379999,21.430000,21.430000,2400
2023-02-09,21.440001,21.440001,21.290001,21.330000,21.330000,3400
2023-02-10,21.270000,21.270000,21.150000,21.200001,21.200001,38800
